ASV domain phylum class order family genus species
ASV_107 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_108 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae Candidatus Koribacter NA
ASV_109 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_110 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_112 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_113 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_114 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae NA NA
ASV_115 Bacteria Myxococcota Myxococcia Myxococcales Myxococcaceae P3OB-42 NA
ASV_116 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_117 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_118 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae NA NA
ASV_119 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptacidiphilus NA
ASV_120 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_122 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Granulicella NA
ASV_123 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_124 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_125 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae NA NA
ASV_126 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_127 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_128 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_129 Bacteria Proteobacteria Gammaproteobacteria Gammaproteobacteria Incertae Sedis Unknown Family_4 Acidibacter NA
ASV_130 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_131 Bacteria Actinobacteriota Actinobacteria Catenulisporales Actinospicaceae Actinospica NA
ASV_133 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Parafilimonas NA
ASV_134 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae Candidatus Solibacter NA
ASV_135 Bacteria Firmicutes Bacilli Bacillales Bacillaceae NA NA
ASV_136 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhodomicrobiaceae Rhodomicrobium NA
ASV_137 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_138 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia NA
ASV_140 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia NA
ASV_142 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_143 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_144 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_145 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_147 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Rhodoplanes NA
ASV_148 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_149 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_150 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Roseiarcus NA
ASV_151 Bacteria Actinobacteriota Actinobacteria Corynebacteriales NA NA NA
ASV_152 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_153 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Devosiaceae Devosia NA
ASV_155 Bacteria Actinobacteriota Acidimicrobiia Microtrichales Iamiaceae Iamia NA
ASV_156 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae NA NA
ASV_157 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA
ASV_158 Bacteria Proteobacteria Gammaproteobacteria NA NA NA NA
ASV_160 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_161 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_162 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_163 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptacidiphilus NA
ASV_164 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_166 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales TRA3-20 NA NA
ASV_168 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Acidipila NA
ASV_169 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Solirubrobacter NA
ASV_170 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptacidiphilus NA
ASV_171 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_172 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_173 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_174 Bacteria Firmicutes Bacilli Bacillales Planococcaceae NA NA
ASV_175 Bacteria Actinobacteriota Actinobacteria Frankiales Nakamurellaceae Nakamurella NA
ASV_176 Bacteria Proteobacteria Gammaproteobacteria NA NA NA NA
ASV_177 Bacteria Acidobacteriota Acidobacteriae Subgroup 2 NA NA NA
ASV_178 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_179 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae NA NA
ASV_180 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_181 Bacteria Chloroflexi TK10 NA NA NA NA
ASV_182 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_183 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_184 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_185 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_186 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae NA NA
ASV_187 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_188 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_189 Bacteria Actinobacteriota Actinobacteria Micrococcales Cellulomonadaceae Cellulomonas NA
ASV_190 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Terracidiphilus NA
ASV_192 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Pseudolabrys NA
ASV_193 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_194 Bacteria Firmicutes Bacilli Bacillales Bacillaceae NA NA
ASV_195 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_196 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_198 Bacteria Actinobacteriota Actinobacteria Frankiales Nakamurellaceae Nakamurella NA
ASV_199 Bacteria NA NA NA NA NA NA
ASV_200 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_201 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_202 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) NA NA
ASV_203 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_204 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_205 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Pseudolabrys NA
ASV_206 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae Luedemannella NA
ASV_207 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_208 Bacteria Acidobacteriota Acidobacteriae Subgroup 2 NA NA NA
ASV_209 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Roseiarcus NA
ASV_210 Bacteria Actinobacteriota Actinobacteria Frankiales Frankiaceae Jatrophihabitans NA
ASV_211 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptomyces NA
ASV_212 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_213 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_214 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_215 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae Angustibacter NA
ASV_216 Bacteria Actinobacteriota Actinobacteria Frankiales NA NA NA
ASV_217 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_218 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_219 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_220 Bacteria Chloroflexi KD4-96 NA NA NA NA
