ASV kingdom phylum class order family genus species
ASV_110 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_111 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA Ceratobasidiaceae_sp
ASV_112 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Clavulinopsis Clavulinopsis_helvola
ASV_113 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae Pleotrichocladium Pleotrichocladium_opacum
ASV_115 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_116 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae NA NA
ASV_117 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_118 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Gyoerffyella Gyoerffyella_sp
ASV_119 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_120 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_122 Fungi Basidiomycota Agaricomycetes Agaricales NA NA Agaricales_sp
ASV_123 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA NA
ASV_124 Fungi Ascomycota Dothideomycetes Pleosporales Sporormiaceae Preussia Preussia_flanaganii
ASV_125 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA Ceratobasidiaceae_sp
ASV_126 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_128 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_129 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_130 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_131 Fungi NA NA NA NA NA Fungi_sp
ASV_132 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_133 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_134 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA NA
ASV_136 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_138 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae NA Thelephoraceae_sp
ASV_140 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Psilocybe Psilocybe_semilanceata
ASV_141 Fungi Ascomycota NA NA NA NA NA
ASV_142 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola Leohumicola_minima
ASV_143 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_144 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_145 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Pezoloma Pezoloma_ericae
ASV_146 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Tylospora Tylospora_asterophora
ASV_147 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula Russula_griseascens
ASV_149 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_150 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA NA
ASV_151 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_152 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Amphinema NA
ASV_154 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_155 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_156 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_metata
ASV_159 Fungi NA NA NA NA NA NA
ASV_160 Fungi Ascomycota NA NA NA NA NA
ASV_163 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_164 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Fontanospora Fontanospora_sp
ASV_165 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_166 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae NA Pleosporaceae_sp
ASV_167 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Fontanospora Fontanospora_sp
ASV_168 Fungi Ascomycota NA NA NA NA NA
ASV_169 Fungi Ascomycota Pezizomycetes Pezizales Pyronemataceae Wilcoxina Wilcoxina_rehmii
ASV_170 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_172 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_174 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_175 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA NA
ASV_176 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Trichopezizella NA
ASV_177 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA NA
ASV_179 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_flavoalba
ASV_180 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_181 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_183 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Phialocephala Phialocephala_sp
ASV_184 Fungi NA NA NA NA NA NA
ASV_185 Fungi Basidiomycota NA NA NA NA NA
ASV_186 Fungi Ascomycota Dothideomycetes Pleosporales NA NA Pleosporales_sp
ASV_187 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_188 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_189 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_190 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_191 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_192 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_193 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_194 Fungi Rozellomycota Rozellomycotina_cls_Incertae_sedis GS11 NA NA GS11_sp
ASV_195 Fungi Basidiomycota Agaricomycetes NA NA NA Agaricomycetes_sp
ASV_196 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_197 Fungi Ascomycota Sordariomycetes Xylariales Microdochiaceae Microdochium Microdochium_lycopodinum
ASV_198 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_200 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Microglossum Microglossum_atropurpureum
ASV_201 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_202 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_203 Fungi NA NA NA NA NA Fungi_sp
ASV_204 Fungi Basidiomycota Tremellomycetes Holtermanniales Holtermanniales_fam_Incertae_sedis Holtermanniella NA
ASV_206 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_207 Fungi NA NA NA NA NA NA
ASV_208 Fungi Ascomycota NA NA NA NA NA
ASV_210 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum Lachnum_carneolum
ASV_211 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_212 Fungi NA NA NA NA NA NA
ASV_213 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Exophiala NA
ASV_214 Fungi Ascomycota Geoglossomycetes Geoglossales Geoglossaceae Glutinoglossum Glutinoglossum_glutinosum
ASV_216 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_217 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_218 Fungi Ascomycota NA NA NA NA NA
ASV_219 Fungi Ascomycota NA NA NA NA NA
ASV_220 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella Mortierella_sp
ASV_221 Fungi Basidiomycota Agaricomycetes Agaricales NA NA NA
ASV_223 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_225 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA NA
ASV_226 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Exophiala NA
ASV_227 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA NA
ASV_228 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_229 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_231 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_233 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_234 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA NA
ASV_236 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA Helotiaceae_sp
ASV_237 Fungi Basidiomycota Tremellomycetes Filobasidiales Piskurozymaceae Solicoccozyma NA
ASV_238 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae NA Serendipitaceae_sp
ASV_240 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_242 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_243 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_244 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_245 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_246 Fungi Ascomycota NA NA NA NA NA
ASV_247 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_248 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_249 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae NA Olpidiaceae_sp
ASV_250 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_251 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_252 Fungi Ascomycota NA NA NA NA NA
ASV_253 Fungi Basidiomycota Agaricomycetes Trechisporales Hydnodontaceae NA Hydnodontaceae_sp
ASV_254 Fungi NA NA NA NA NA NA
ASV_256 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_257 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Clavulinopsis Clavulinopsis_helvola
ASV_258 Fungi Ascomycota NA NA NA NA NA
ASV_259 Fungi NA NA NA NA NA NA
ASV_260 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Ophiosphaerella Ophiosphaerella_sp
ASV_261 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_262 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_schulzeri
ASV_263 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Gibberella NA
ASV_264 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_265 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_266 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_267 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Ilyonectria Ilyonectria_mors-panacis
ASV_268 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_269 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Pezoloma Pezoloma_ericae
ASV_270 Fungi Ascomycota NA NA NA NA NA
ASV_271 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Phialocephala Phialocephala_sp
ASV_272 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_274 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_275 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula Russula_sanguinea
ASV_276 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_277 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum Lachnum_sp
ASV_278 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella Tomentella_coerulea
ASV_279 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA Helotiaceae_sp
ASV_280 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_281 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Tylospora Tylospora_sp
ASV_282 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_283 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Amphinema Amphinema_sp
ASV_284 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_285 Fungi Ascomycota Lecanoromycetes Lecanorales NA NA Lecanorales_sp
ASV_286 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_287 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_288 Fungi NA NA NA NA NA Fungi_sp
ASV_289 Fungi Basidiomycota Agaricomycetes Agaricales Hygrophoraceae NA NA
ASV_290 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_291 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA Chaetothyriales_sp
ASV_293 Fungi Ascomycota Sordariomycetes Sordariales NA NA Sordariales_sp
ASV_294 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Allophylaria Allophylaria_subliciformis
ASV_295 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_296 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_297 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_298 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_300 Fungi NA NA NA NA NA NA
ASV_301 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_302 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_303 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum Lachnum_sp
ASV_304 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae NA Olpidiaceae_sp
ASV_305 Fungi Ascomycota NA NA NA NA NA
ASV_306 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula Russula_griseascens
ASV_308 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_309 Fungi Ascomycota Dothideomycetes Acrospermales Acrospermaceae Oomyces Oomyces_carneoalbus
ASV_310 Fungi Basidiomycota Tremellomycetes Tremellales Tremellaceae Filobasidiella Filobasidiella_sp
ASV_311 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola NA
ASV_313 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_314 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola NA
ASV_315 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_316 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_317 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_atrovelutina
ASV_318 Fungi Ascomycota Sordariomycetes Coniochaetales NA NA Coniochaetales_sp
ASV_319 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_320 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae NA NA
ASV_321 Fungi Ascomycota NA NA NA NA NA
ASV_322 Fungi Ascomycota Dothideomycetes Mytilinidales Gloniaceae NA NA
ASV_323 Fungi Ascomycota Leotiomycetes Helotiales Myxotrichaceae Oidiodendron Oidiodendron_maius
ASV_324 Fungi Basidiomycota Agaricomycetes Agaricales NA NA Agaricales_sp
ASV_325 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Galerina Galerina_clavata
ASV_326 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_327 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_atrovelutina
ASV_328 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_flavoalba
ASV_329 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_330 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Cladophialophora Cladophialophora_sp
ASV_332 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_333 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_334 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_335 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Pseudotomentella Pseudotomentella_media
ASV_336 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Fontanospora Fontanospora_sp
ASV_337 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_338 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_339 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA Melanommataceae_sp
ASV_341 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_342 Fungi NA NA NA NA NA NA
ASV_345 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_346 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_347 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_metata
ASV_348 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_349 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_350 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae NA Olpidiaceae_sp
ASV_351 Fungi NA NA NA NA NA Fungi_sp
ASV_354 Fungi Basidiomycota Agaricomycetes Agaricales NA NA NA
ASV_355 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_356 Fungi Ascomycota Sordariomycetes Magnaporthales Magnaporthaceae Slopeiomyces Slopeiomyces_cylindrosporus
ASV_357 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA NA
ASV_358 Fungi Ascomycota NA NA NA NA NA
ASV_359 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum Lachnum_sp
ASV_360 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
